"aaNumber","year","monthYear","sequenceNumber","sequenceStartDate","base","sequenceEquipmentType","uuid","dutyPeriodNumber","flightNumber","departureStationIata","departureStationIcao","departureStationTz","outDateTimeUTC","outDateUTC","outTimeUTC","outDateTimeLCL","outDateLCL","outTimeLCL","arrivalStationIata","arrivalStationIcao","arrivalStationTz","inDateTimeUTC","inDateUTC","inTimeUTC","inDateTimeLCL","inDateLCL","inTimeLCL","fly","legGreater","actualBlock","groundTime","overnightDuration","eqModel","eqNumber","eqType","eqCode","fuelPerformance","departurePerformance","arrivalPerformance","position","delayCode"
"420357","2016  ","OCTOBER 2016  ","22616","10/17/2016","PHX","320","9836a74d-656a-4c91-b641-dbe722a7e1eb","4","528","PIT","KPIT","America/New_York","2016-10-20T22:15:00+00:00","2016-10-20","22:15:00","2016-10-20T18:15:00-04:00","2016-10-20","18:15:00","PHX","KPHX","America/Phoenix","2016-10-21T03:28:00+00:00","2016-10-21","03:28:00","2016-10-20T23:28:00-04:00","2016-10-20","23:28:00","5:48:0","5:48:0","5:13:0","0:0:0","0:0:0","A319","N825","319","92","-300.00","35","75","FO","ATC35"
"420357","2016  ","OCTOBER 2016  ","22616","10/22/2016","PHX","320","78b1203c-855a-49fb-8a4c-4acee0f70ab2","1","1712","PHX","KPHX","America/Phoenix","2016-10-22T21:47:00+00:00","2016-10-22","21:47:00","2016-10-22T14:47:00-07:00","2016-10-22","14:47:00","PHL","KPHL","America/New_York","2016-10-23T02:09:00+00:00","2016-10-23","02:09:00","2016-10-22T19:09:00-07:00","2016-10-22","19:09:00","4:22:0","4:30:0","4:22:0","0:0:0","16:16:0","A320","N651","320","29","-700.00","-3","-11","FO",""
"420357","2016  ","OCTOBER 2016  ","22616","10/22/2016","PHX","320","e1f973a5-1f95-463e-9a60-d334c03e6c33","2","701","PHL","KPHL","America/New_York","2016-10-23T19:55:00+00:00","2016-10-23","19:55:00","2016-10-23T15:55:00-04:00","2016-10-23","15:55:00","LAX","KLAX","America/Los_Angeles","2016-10-24T02:47:00+00:00","2016-10-24","02:47:00","2016-10-23T22:47:00-04:00","2016-10-23","22:47:00","6:52:0","6:52:0","6:52:0","0:0:0","12:28:0","A321","N982","321","77","1000.00","","55","FO",""
"420357","2016  ","OCTOBER 2016  ","22616","10/22/2016","PHX","320","9f668d63-953f-4799-943a-3c7582d4b7a4","3","2450","LAX","KLAX","America/Los_Angeles","2016-10-24T16:31:00+00:00","2016-10-24","16:31:00","2016-10-24T09:31:00-07:00","2016-10-24","09:31:00","DFW","KDFW","America/Chicago","2016-10-24T19:19:00+00:00","2016-10-24","19:19:00","2016-10-24T12:19:00-07:00","2016-10-24","12:19:00","2:48:0","3:12:0","2:48:0","1:51:0","0:0:0","A321","N881","321","76","1000.00","91","67","FO",""
"420357","2016  ","OCTOBER 2016  ","22616","10/22/2016","PHX","320","6753526f-c3e3-42bc-bc93-73d6aa79fded","3","524","DFW","KDFW","America/Chicago","2016-10-24T21:10:00+00:00","2016-10-24","21:10:00","2016-10-24T16:10:00-05:00","2016-10-24","16:10:00","PHX","KPHX","America/Phoenix","2016-10-24T21:10:00+00:00","2016-10-24","21:10:00","2016-10-24T16:10:00-05:00","2016-10-24","16:10:00","0:0:0","0:0:0","0:0:0","0:0:0","0:0:0","A321","N521","321","AA","300.00","70","54","DH",""
"420357","2016  ","OCTOBER 2016  ","23860","10/28/2016","PHX","320","fdb4aa84-e05f-4278-838d-94a735412f93","1","473","PHX","KPHX","America/Phoenix","2016-10-28T15:45:00+00:00","2016-10-28","15:45:00","2016-10-28T08:45:00-07:00","2016-10-28","08:45:00","IAH","KIAH","America/Chicago","2016-10-28T18:25:00+00:00","2016-10-28","18:25:00","2016-10-28T11:25:00-07:00","2016-10-28","11:25:00","2:40:0","2:45:0","2:40:0","0:51:0","0:0:0","A319","N754","319","92","400.00","-1","-6","FO",""
"420357","2016  ","OCTOBER 2016  ","23860","10/28/2016","PHX","320","126d3fa7-9ffc-4ee0-9dfd-a963bdb961e2","1","473","IAH","KIAH","America/Chicago","2016-10-28T19:16:00+00:00","2016-10-28","19:16:00","2016-10-28T14:16:00-05:00","2016-10-28","14:16:00","DFW","KDFW","America/Chicago","2016-10-28T20:28:00+00:00","2016-10-28","20:28:00","2016-10-28T15:28:00-05:00","2016-10-28","15:28:00","1:12:0","1:17:0","1:12:0","1:21:0","0:0:0","A319","N754","319","92","600.00","-4","-9","FO",""
"420357","2016  ","OCTOBER 2016  ","23860","10/28/2016","PHX","320","828c2c8c-0b8d-40ef-b13e-87127ec6e270","1","420","DFW","KDFW","America/Chicago","2016-10-28T21:49:00+00:00","2016-10-28","21:49:00","2016-10-28T16:49:00-05:00","2016-10-28","16:49:00","PDX","KPDX","America/Los_Angeles","2016-10-28T21:49:00+00:00","2016-10-28","21:49:00","2016-10-28T16:49:00-05:00","2016-10-28","16:49:00","0:0:0","0:0:0","0:0:0","0:0:0","36:41:0","A321","N198","321","AA","-400.00","-1","-25","DH",""
"420357","2016  ","OCTOBER 2016  ","23860","10/28/2016","PHX","320","f48bc8c0-d4c9-4c63-9c55-2e9debe461d7","2","566","PDX","KPDX","America/Los_Angeles","2016-10-30T15:34:00+00:00","2016-10-30","15:34:00","2016-10-30T08:34:00-07:00","2016-10-30","08:34:00","PHX","KPHX","America/Phoenix","2016-10-30T18:11:00+00:00","2016-10-30","18:11:00","2016-10-30T11:11:00-07:00","2016-10-30","11:11:00","2:37:0","2:37:0","2:37:0","0:0:0","0:0:0","A321","N151","321","77","1000.00","-6","-5","FO",""
"420357","2016  ","NOVEMBER 2016  ","6245","11/3/2016","PHX","320","cbbb3e52-d560-4f0e-b809-f1b27677ba05","1","401","PHX","KPHX","America/Phoenix","2016-11-03T15:47:00+00:00","2016-11-03","15:47:00","2016-11-03T08:47:00-07:00","2016-11-03","08:47:00","MZT","MMMZ","America/Mazatlan","2016-11-03T18:11:00+00:00","2016-11-03","18:11:00","2016-11-03T11:11:00-07:00","2016-11-03","11:11:00","2:24:0","2:24:0","2:24:0","0:43:0","0:0:0","A319","N769","319","92","200.00","-3","","FO",""
"420357","2016  ","NOVEMBER 2016  ","6245","11/3/2016","PHX","320","4a057c07-9945-4881-9727-ce6bae53b998","1","401","MZT","MMMZ","America/Mazatlan","2016-11-03T18:54:00+00:00","2016-11-03","18:54:00","2016-11-03T11:54:00-07:00","2016-11-03","11:54:00","PHX","KPHX","America/Phoenix","2016-11-03T21:08:00+00:00","2016-11-03","21:08:00","2016-11-03T14:08:00-07:00","2016-11-03","14:08:00","2:14:0","2:14:0","2:14:0","1:0:0","0:0:0","A319","N769","319","92","-300.00","-7","-7","FO",""
"420357","2016  ","NOVEMBER 2016  ","6245","11/3/2016","PHX","320","a3f79531-1670-4c7b-8db1-fd6576ab691f","1","490","PHX","KPHX","America/Phoenix","2016-11-03T22:08:00+00:00","2016-11-03","22:08:00","2016-11-03T15:08:00-07:00","2016-11-03","15:08:00","OMA","KOMA","America/Chicago","2016-11-03T22:08:00+00:00","2016-11-03","22:08:00","2016-11-03T15:08:00-07:00","2016-11-03","15:08:00","0:0:0","0:0:0","0:0:0","0:0:0","34:54:0","A319","N769","319","AA","100.00","-7","-13","DH",""
"420357","2016  ","NOVEMBER 2016  ","6245","11/3/2016","PHX","320","474bd2d7-7aac-4936-b833-f068d0d87f41","2","493","OMA","KOMA","America/Chicago","2016-11-05T12:55:00+00:00","2016-11-05","12:55:00","2016-11-05T07:55:00-05:00","2016-11-05","07:55:00","PHX","KPHX","America/Phoenix","2016-11-05T16:08:00+00:00","2016-11-05","16:08:00","2016-11-05T11:08:00-05:00","2016-11-05","11:08:00","3:13:0","3:13:0","3:13:0","0:0:0","0:0:0","A319","N828","319","92","-1200.00","-4","8","FO",""
"420357","2016  ","NOVEMBER 2016  ","6444","11/6/2016","PHX","320","fbd0a8c4-33ee-48a8-aa86-5826ce1c224e","1","1907","PHX","KPHX","America/Phoenix","2016-11-06T18:30:00+00:00","2016-11-06","18:30:00","2016-11-06T11:30:00-07:00","2016-11-06","11:30:00","PVR","MMPR","America/Mexico_City","2016-11-06T21:07:00+00:00","2016-11-06","21:07:00","2016-11-06T14:07:00-07:00","2016-11-06","14:07:00","2:37:0","2:37:0","2:37:0","0:42:0","0:0:0","A319","N819","319","92","-200.00","15","16","FO",""
"420357","2016  ","NOVEMBER 2016  ","6444","11/6/2016","PHX","320","2350c4b1-c386-4ed9-b591-a7df297b6f3d","1","573","PVR","MMPR","America/Mexico_City","2016-11-06T21:49:00+00:00","2016-11-06","21:49:00","2016-11-06T15:49:00-06:00","2016-11-06","15:49:00","PHX","KPHX","America/Phoenix","2016-11-07T00:33:00+00:00","2016-11-07","00:33:00","2016-11-06T18:33:00-06:00","2016-11-06","18:33:00","2:44:0","2:44:0","2:44:0","2:21:0","0:0:0","A319","N819","319","92","300.00","-1","7","FO",""
"420357","2016  ","NOVEMBER 2016  ","6444","11/6/2016","PHX","320","0ba558d1-3f1c-4e18-89ae-8dfce80f14a9","1","490","PHX","KPHX","America/Phoenix","2016-11-07T02:54:00+00:00","2016-11-07","02:54:00","2016-11-06T19:54:00-07:00","2016-11-06","19:54:00","OMA","KOMA","America/Chicago","2016-11-07T05:37:00+00:00","2016-11-07","05:37:00","2016-11-06T22:37:00-07:00","2016-11-06","22:37:00","2:43:0","2:43:0","2:43:0","0:0:0","30:52:0","A319","N755","319","92","-100.00","-3","8","FO",""
"420357","2016  ","NOVEMBER 2016  ","6444","11/6/2016","PHX","320","788813c9-d816-44b9-ba8f-b63322bb6142","2","493","OMA","KOMA","America/Chicago","2016-11-08T13:54:00+00:00","2016-11-08","13:54:00","2016-11-08T07:54:00-06:00","2016-11-08","07:54:00","PHX","KPHX","America/Phoenix","2016-11-08T16:41:00+00:00","2016-11-08","16:41:00","2016-11-08T10:41:00-06:00","2016-11-08","10:41:00","2:47:0","3:1:0","2:47:0","0:0:0","0:0:0","A319","N834","319","92","-400.00","-5","-19","FO",""
"420357","2016  ","NOVEMBER 2016  ","6072","11/19/2016","PHX","320","a4ba2534-337e-4056-b0c5-b369df3a9310","1","401","PHX","KPHX","America/Phoenix","2016-11-19T16:45:00+00:00","2016-11-19","16:45:00","2016-11-19T09:45:00-07:00","2016-11-19","09:45:00","MZT","MMMZ","America/Mazatlan","2016-11-19T19:00:00+00:00","2016-11-19","19:00:00","2016-11-19T12:00:00-07:00","2016-11-19","12:00:00","2:15:0","2:16:0","2:15:0","0:58:0","0:0:0","A320","N665","320","29","-900.00","-5","-6","FO",""
"420357","2016  ","NOVEMBER 2016  ","6072","11/19/2016","PHX","320","f00bda2f-6001-44dd-87b2-cd78b77c8c15","1","401","MZT","MMMZ","America/Mazatlan","2016-11-19T19:58:00+00:00","2016-11-19","19:58:00","2016-11-19T12:58:00-07:00","2016-11-19","12:58:00","PHX","KPHX","America/Phoenix","2016-11-19T22:12:00+00:00","2016-11-19","22:12:00","2016-11-19T15:12:00-07:00","2016-11-19","15:12:00","2:14:0","2:14:0","2:14:0","2:27:0","0:0:0","A320","N665","320","29","-1200.00","-3","-3","FO",""
"420357","2016  ","NOVEMBER 2016  ","6072","11/19/2016","PHX","320","2cce698f-aa3d-49f5-9e1c-d5dec1849371","1","621","PHX","KPHX","America/Phoenix","2016-11-20T00:39:00+00:00","2016-11-20","00:39:00","2016-11-19T17:39:00-07:00","2016-11-19","17:39:00","OAK","KOAK","America/Los_Angeles","2016-11-20T02:31:00+00:00","2016-11-20","02:31:00","2016-11-19T19:31:00-07:00","2016-11-19","19:31:00","1:52:0","1:57:0","1:52:0","0:0:0","33:59:0","A319","N826","319","92","500.00","-5","-10","FO",""
"420357","2016  ","NOVEMBER 2016  ","6072","11/19/2016","PHX","320","06e5145b-c0d8-42ba-8da4-1957d9e5c9b7","2","467","OAK","KOAK","America/Los_Angeles","2016-11-21T13:53:00+00:00","2016-11-21","13:53:00","2016-11-21T05:53:00-08:00","2016-11-21","05:53:00","PHX","KPHX","America/Phoenix","2016-11-21T15:37:00+00:00","2016-11-21","15:37:00","2016-11-21T07:37:00-08:00","2016-11-21","07:37:00","1:44:0","1:57:0","1:44:0","0:0:0","0:0:0","A319","N831","319","92","-500.00","-7","-20","FO",""
"420357","2016  ","NOVEMBER 2016  ","7217","11/23/2016","PHX","320","41f02f81-916d-487f-b41a-e9a24377a630","1","528","PHX","KPHX","America/Phoenix","2016-11-24T04:02:00+00:00","2016-11-24","04:02:00","2016-11-23T21:02:00-07:00","2016-11-23","21:02:00","RNO","KRNO","America/Los_Angeles","2016-11-24T05:45:00+00:00","2016-11-24","05:45:00","2016-11-23T22:45:00-07:00","2016-11-23","22:45:00","1:43:0","1:54:0","1:43:0","0:0:0","37:25:0","A319","N748","319","92","200.00","-3","-14","FO",""
"420357","2016  ","NOVEMBER 2016  ","7217","11/23/2016","PHX","320","2420ae2a-f7c8-4bca-845c-5d9e9f28b245","2","574","RNO","KRNO","America/Los_Angeles","2016-11-25T20:31:00+00:00","2016-11-25","20:31:00","2016-11-25T12:31:00-08:00","2016-11-25","12:31:00","PHX","KPHX","America/Phoenix","2016-11-25T22:11:00+00:00","2016-11-25","22:11:00","2016-11-25T14:11:00-08:00","2016-11-25","14:11:00","1:40:0","1:40:0","1:40:0","0:0:0","0:0:0","A320","N664","320","29","-200.00","-9","-7","FO",""
"420357","2016  ","NOVEMBER 2016  ","6078","11/26/2016","PHX","320","1160e8f9-f891-42be-8cd5-60f1d0ef1297","1","447","PHX","KPHX","America/Phoenix","2016-11-26T20:24:00+00:00","2016-11-26","20:24:00","2016-11-26T13:24:00-07:00","2016-11-26","13:24:00","MZT","MMMZ","America/Mazatlan","2016-11-26T22:25:00+00:00","2016-11-26","22:25:00","2016-11-26T15:25:00-07:00","2016-11-26","15:25:00","2:1:0","2:6:0","2:1:0","0:57:0","0:0:0","A319","N833","319","92","300.00","-1","-6","FO",""
"420357","2016  ","NOVEMBER 2016  ","6078","11/26/2016","PHX","320","44d5580e-c255-47d5-914a-40a48803fb1c","1","803","MZT","MMMZ","America/Mazatlan","2016-11-26T23:22:00+00:00","2016-11-26","23:22:00","2016-11-26T16:22:00-07:00","2016-11-26","16:22:00","PHX","KPHX","America/Phoenix","2016-11-27T01:27:00+00:00","2016-11-27","01:27:00","2016-11-26T18:27:00-07:00","2016-11-26","18:27:00","2:5:0","2:12:0","2:5:0","1:18:0","0:0:0","A319","N833","319","92","100.00","-8","-15","FO",""
"420357","2016  ","NOVEMBER 2016  ","6078","11/26/2016","PHX","320","da5f2a7e-4a22-42d4-993d-30d159dce234","1","509","PHX","KPHX","America/Phoenix","2016-11-27T02:45:00+00:00","2016-11-27","02:45:00","2016-11-26T19:45:00-07:00","2016-11-26","19:45:00","DSM","KDSM","America/Chicago","2016-11-27T05:08:00+00:00","2016-11-27","05:08:00","2016-11-26T22:08:00-07:00","2016-11-26","22:08:00","2:23:0","2:39:0","2:23:0","0:0:0","31:17:0","A319","N833","319","92","300.00","-4","-20","FO",""
"420357","2016  ","NOVEMBER 2016  ","6078","11/26/2016","PHX","320","f081ff48-bc45-4a6b-ac9e-04d1e2a53838","2","586","DSM","KDSM","America/Chicago","2016-11-28T13:54:00+00:00","2016-11-28","13:54:00","2016-11-28T07:54:00-06:00","2016-11-28","07:54:00","PHX","KPHX","America/Phoenix","2016-11-28T17:08:00+00:00","2016-11-28","17:08:00","2016-11-28T11:08:00-06:00","2016-11-28","11:08:00","3:14:0","3:23:0","3:14:0","0:0:0","0:0:0","A319","N820","319","92","1300.00","-1","-10","FO",""
"420357","2016  ","DECEMBER 2016  ","20888","12/3/2016","PHX","320","5fabb8f3-7abf-44ba-a396-b840d1943766","1","646","PHX","KPHX","America/Phoenix","2016-12-03T17:21:00+00:00","2016-12-03","17:21:00","2016-12-03T10:21:00-07:00","2016-12-03","10:21:00","BOS","KBOS","America/New_York","2016-12-03T21:58:00+00:00","2016-12-03","21:58:00","2016-12-03T14:58:00-07:00","2016-12-03","14:58:00","4:37:0","4:46:0","4:37:0","0:47:0","0:0:0","A321","N184","321","77","1100.00","36","27","FO",""
"420357","2016  ","DECEMBER 2016  ","20888","12/3/2016","PHX","320","e235ec0a-14a5-4e25-a265-80b2f8620ea2","1","1933","BOS","KBOS","America/New_York","2016-12-03T22:45:00+00:00","2016-12-03","22:45:00","2016-12-03T17:45:00-05:00","2016-12-03","17:45:00","PHL","KPHL","America/New_York","2016-12-04T00:06:00+00:00","2016-12-04","00:06:00","2016-12-03T19:06:00-05:00","2016-12-03","19:06:00","1:21:0","1:43:0","1:21:0","0:0:0","12:54:0","A321","N184","321","77","700.00","","-22","FO",""
"420357","2016  ","DECEMBER 2016  ","20888","12/3/2016","PHX","320","ac32a94e-0f7c-4cb0-bbab-e8008f0024fd","2","597","PHL","KPHL","America/New_York","2016-12-04T14:39:00+00:00","2016-12-04","14:39:00","2016-12-04T09:39:00-05:00","2016-12-04","09:39:00","LAX","KLAX","America/Los_Angeles","2016-12-04T20:36:00+00:00","2016-12-04","20:36:00","2016-12-04T15:36:00-05:00","2016-12-04","15:36:00","5:57:0","6:16:0","5:57:0","0:0:0","18:14:0","A321","N556","321","77","300.00","9","-10","FO",""
"420357","2016  ","DECEMBER 2016  ","20888","12/3/2016","PHX","320","06a025db-c8c5-44fe-9e71-916d945027d2","3","706","LAX","KLAX","America/Los_Angeles","2016-12-05T16:18:00+00:00","2016-12-05","16:18:00","2016-12-05T08:18:00-08:00","2016-12-05","08:18:00","IND","KIND","America/New_York","2016-12-05T20:21:00+00:00","2016-12-05","20:21:00","2016-12-05T12:21:00-08:00","2016-12-05","12:21:00","4:3:0","4:7:0","4:3:0","0:0:0","15:9:0","A319","N829","319","92","-500.00","-2","-6","FO",""
"420357","2016  ","DECEMBER 2016  ","20888","12/3/2016","PHX","320","9e9bfb35-58fb-40b0-a0e4-e85287277c50","4","404","IND","KIND","America/New_York","2016-12-06T13:01:00+00:00","2016-12-06","13:01:00","2016-12-06T08:01:00-05:00","2016-12-06","08:01:00","PHX","KPHX","America/Phoenix","2016-12-06T17:11:00+00:00","2016-12-06","17:11:00","2016-12-06T12:11:00-05:00","2016-12-06","12:11:00","4:10:0","4:10:0","4:10:0","0:0:0","0:0:0","A319","N836","319","92","-200.00","1","3","FO",""
"420357","2016  ","DECEMBER 2016  ","20678","12/8/2016","PHX","320","44170b9d-f51a-4d57-bea9-be147a9acad6","1","483","PHX","KPHX","America/Phoenix","2016-12-08T20:18:00+00:00","2016-12-08","20:18:00","2016-12-08T13:18:00-07:00","2016-12-08","13:18:00","STL","KSTL","America/Chicago","2016-12-08T23:07:00+00:00","2016-12-08","23:07:00","2016-12-08T16:07:00-07:00","2016-12-08","16:07:00","2:49:0","2:49:0","2:49:0","0:46:0","0:0:0","A319","N835","319","92","-200.00","-7","-5","FO",""
"420357","2016  ","DECEMBER 2016  ","20678","12/8/2016","PHX","320","d6d56ecf-5da9-4358-a34c-4510df641a52","1","453","STL","KSTL","America/Chicago","2016-12-08T23:53:00+00:00","2016-12-08","23:53:00","2016-12-08T17:53:00-06:00","2016-12-08","17:53:00","PHX","KPHX","America/Phoenix","2016-12-09T03:17:00+00:00","2016-12-09","03:17:00","2016-12-08T21:17:00-06:00","2016-12-08","21:17:00","3:24:0","3:31:0","3:24:0","0:56:0","0:0:0","A319","N835","319","92","300.00","-2","-9","FO",""
"420357","2016  ","DECEMBER 2016  ","20678","12/8/2016","PHX","320","6bfeb47e-2dd1-49a7-8c67-94ed76d649b5","1","627","PHX","KPHX","America/Phoenix","2016-12-09T04:13:00+00:00","2016-12-09","04:13:00","2016-12-08T21:13:00-07:00","2016-12-08","21:13:00","OAK","KOAK","America/Los_Angeles","2016-12-09T06:10:00+00:00","2016-12-09","06:10:00","2016-12-08T23:10:00-07:00","2016-12-08","23:10:00","1:57:0","2:2:0","1:57:0","0:0:0","12:50:0","A319","N835","319","92","1000.00","-6","-11","FO",""
"420357","2016  ","DECEMBER 2016  ","20678","12/8/2016","PHX","320","fc3fada1-79dc-4c2d-bd6a-40d96fe92ba3","2","835","OAK","KOAK","America/Los_Angeles","2016-12-09T20:28:00+00:00","2016-12-09","20:28:00","2016-12-09T12:28:00-08:00","2016-12-09","12:28:00","PHX","KPHX","America/Phoenix","2016-12-09T22:23:00+00:00","2016-12-09","22:23:00","2016-12-09T14:23:00-08:00","2016-12-09","14:23:00","1:55:0","1:55:0","1:55:0","1:16:0","0:0:0","A319","N742","319","92","0.00","-2","4","FO",""
"420357","2016  ","DECEMBER 2016  ","20678","12/8/2016","PHX","320","a40051e2-89a3-47a4-84e2-3c38bd529f4a","2","835","PHX","KPHX","America/Phoenix","2016-12-09T23:39:00+00:00","2016-12-09","23:39:00","2016-12-09T16:39:00-07:00","2016-12-09","16:39:00","DSM","KDSM","America/Chicago","2016-12-10T02:19:00+00:00","2016-12-10","02:19:00","2016-12-09T19:19:00-07:00","2016-12-09","19:19:00","2:40:0","2:40:0","2:40:0","0:0:0","16:46:0","A319","N758","319","92","400.00","19","21","FO",""
"420357","2016  ","DECEMBER 2016  ","20678","12/8/2016","PHX","320","a08732de-fa82-41e3-91de-00fe853196a8","3","449","DSM","KDSM","America/Chicago","2016-12-10T20:25:00+00:00","2016-12-10","20:25:00","2016-12-10T14:25:00-06:00","2016-12-10","14:25:00","PHX","KPHX","America/Phoenix","2016-12-10T23:34:00+00:00","2016-12-10","23:34:00","2016-12-10T17:34:00-06:00","2016-12-10","17:34:00","3:9:0","3:14:0","3:9:0","0:0:0","0:0:0","A319","N821","319","92","-100.00","-10","-15","FO",""
